日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/21,"8,426","170,590",19.95,20.30,19.95,20.30,+0.35,9
114/08/20,"4,000","80,450",20.20,20.20,19.95,19.95, 0.00,4
114/08/19,"26,097","520,702",19.90,20.00,19.90,19.95,X0.00,16
114/08/15,"3,008","60,914",20.25,20.25,20.25,20.25,-0.05,9
114/08/14,"3,055","62,032",20.30,20.30,20.30,20.30, 0.00,4
114/08/13,"2,000","40,700",20.40,20.40,20.30,20.30,-0.10,2
114/08/12,"3,099","63,006",20.30,20.40,20.30,20.40,X0.00,5
114/08/08,"1,071","21,750",20.30,20.30,20.30,20.30,-0.30,4
114/08/07,"3,000","61,850",20.65,20.65,20.60,20.60,+0.15,3
114/08/06,"5,131","104,978",20.50,20.50,20.45,20.45,-0.05,7
114/08/05,"21,029","433,095",20.60,20.60,20.50,20.50,X0.00,7
114/08/01,"5,291","109,108",20.65,20.65,20.60,20.60,-0.25,9
114/07/31,"2,022","42,146",20.85,20.85,20.85,20.85,+0.35,4
114/07/30,"11,000","225,000",20.45,20.50,20.45,20.50,-0.35,3
114/07/29,"3,006","63,074",21.40,21.40,20.70,20.85,X0.00,5
114/07/24,"9,091","188,010",21.20,21.20,20.60,20.65,X0.00,7
114/07/22,"8,000","171,300",21.40,21.45,21.20,21.20,X0.00,6
114/07/16,"1,000","20,950",20.95,20.95,20.95,20.95, 0.00,1
114/07/15,"8,740","183,035",20.95,21.15,20.90,20.95,X0.00,15
114/07/14,"7,001","149,073",21.20,21.50,21.20,21.50,+0.30,8
114/07/11,"10,040","212,954",21.20,21.30,21.20,21.20, 0.00,10
114/07/10,"4,140","88,124",21.30,21.30,21.20,21.20,-0.10,7
114/07/09,"1,015","21,625",21.30,21.30,21.30,21.30,-0.60,2
114/07/08,"3,000","64,600",21.50,21.90,21.20,21.90,+0.40,3
114/07/07,"4,002","85,443",21.20,21.50,21.20,21.50,-0.25,6
114/07/04,"5,000","108,200",21.80,21.80,21.40,21.75,-0.10,5
114/07/03,"4,040","88,230",21.80,21.90,21.80,21.85,-0.05,6
114/07/02,"3,020","66,180",21.90,21.95,21.90,21.90,-0.55,4
114/07/01,"9,229","206,886",22.30,22.45,22.30,22.45,+0.15,20
114/06/30,"3,000","66,900",22.30,22.30,22.30,22.30,+0.10,3
114/06/27,"8,075","175,654",21.55,22.20,21.05,22.20, 0.00,17
114/06/26,"7,024","155,372",21.65,22.35,21.65,22.20,X0.00,9
114/06/24,"7,000","150,000",21.20,21.60,21.20,21.60,+0.65,7
114/06/23,"8,140","171,187",21.00,21.10,20.95,20.95,-0.30,9
114/06/20,"5,033","106,801",21.20,21.25,21.20,21.25,-0.10,6
114/06/19,"5,082","108,562",21.40,21.40,21.35,21.35,-0.35,7
114/06/18,"1,106","23,957",21.70,21.70,21.70,21.70, 0.00,3
114/06/17,"5,000","108,500",21.70,21.70,21.70,21.70,+0.05,4
114/06/16,"10,057","216,373",21.35,21.65,21.25,21.65,+0.10,13
114/06/13,"9,000","194,450",21.80,21.80,21.45,21.55,-0.40,9
114/06/12,"9,105","200,903",22.65,22.65,21.90,21.95,-0.55,13
114/06/11,"5,000","112,500",22.50,22.50,22.50,22.50,-0.10,2
114/06/10,"7,152","160,159",22.25,22.60,22.25,22.60,+0.70,10
114/06/09,"2,295","50,390",21.95,21.95,21.90,21.90,-0.25,15
114/06/06,"16,095","355,329",21.75,22.15,21.75,22.15,+0.05,19
114/06/05,"18,307","402,057",22.05,22.10,21.80,22.10,-0.20,44
114/06/04,"17,110","379,297",22.10,22.35,22.05,22.30, 0.00,20
114/06/03,"15,439","343,879",22.20,22.55,22.20,22.30, 0.00,19
114/06/02,"147,331","3,262,144",23.20,23.95,21.65,22.30,-1.70,130
114/05/29,"72,167","1,755,818",24.05,24.90,23.50,24.00,X0.00,65
114/05/27,"10,358","266,818",26.10,26.20,25.50,25.50,-0.50,32
114/05/26,"4,216","109,392",26.10,26.10,26.00,26.00,+0.65,13
114/05/23,"5,212","131,072",25.35,25.35,24.80,25.35,-0.05,13
114/05/22,"26,116","666,424",25.60,25.70,25.35,25.40,-0.20,17
114/05/21,"4,509","118,632",26.35,26.35,25.60,25.60,-0.75,10
114/05/20,"11,001","289,726",26.00,26.40,26.00,26.35,+0.35,11
114/05/19,"6,085","155,457",25.50,26.00,25.45,26.00,+0.55,9
114/05/16,"4,482","115,020",25.30,25.45,25.30,25.45,-0.45,10
114/05/15,"13,123","335,994",25.30,26.20,25.30,25.90,+0.60,15
114/05/14,"24,123","615,368",25.75,25.75,25.30,25.30,-0.45,109
114/05/13,"53,116","1,389,742",27.10,27.20,25.60,25.75,-1.05,63
114/05/12,"15,139","403,264",27.10,27.10,26.40,26.80,-0.30,17
114/05/09,"73,486","1,956,720",26.20,27.10,25.90,27.10,+0.75,72
114/05/08,"43,116","1,138,274",26.55,26.60,26.25,26.35,-0.75,37
114/05/07,"41,121","1,108,149",27.25,27.25,26.70,27.10,+0.25,44
114/05/06,"145,495","3,895,341",26.60,27.35,26.40,26.85,-0.50,139
114/05/05,"275,596","7,495,335",27.00,27.60,26.20,27.35,+0.85,208
114/05/02,"148,380","3,880,389",25.65,26.50,25.05,26.50,+1.65,129
114/04/30,"150,324","3,864,640",25.55,26.45,24.85,24.85,-0.35,112
114/04/29,"230,555","6,026,093",26.60,26.95,25.20,25.20,-0.65,214
114/04/28,"200,779","5,180,014",25.60,25.85,25.15,25.85,+2.35,144
114/04/25,"13,001","305,172",23.45,23.50,23.45,23.50,+0.25,10
114/04/24,"1,000","23,250",23.25,23.25,23.25,23.25,-0.10,1
114/04/23,"7,000","164,150",23.50,23.50,23.30,23.35,X0.00,3
114/04/21,"1,000","23,400",23.40,23.40,23.40,23.40, 0.00,1
114/04/18,"6,031","139,116",23.00,23.40,23.00,23.40,-0.05,5
114/04/17,"13,357","315,966",23.40,23.95,23.40,23.45, 0.00,23
114/04/16,"6,263","146,767",23.45,23.45,23.45,23.45, 0.00,11
114/04/15,"14,011","326,306",23.15,23.45,23.15,23.45,+0.30,12
114/04/14,"31,266","722,183",23.20,23.20,22.85,23.15,+0.30,34
114/04/11,"5,603","129,652",23.40,23.40,22.85,22.85,-0.25,13
114/04/10,"37,057","851,245",23.00,23.10,22.15,23.10,+2.10,31
114/04/09,"57,186","1,219,854",21.80,22.00,21.00,21.00,+0.30,31
114/04/08,"9,013","194,364",22.00,22.00,20.40,20.70,+0.15,6
114/04/07,"37,098","771,113",20.90,21.20,20.10,20.55,-1.75,27
114/04/02,"3,098","69,150",22.35,22.35,22.30,22.30,-0.25,10
114/04/01,"4,000","89,550",22.25,22.55,22.25,22.55,+0.80,4
114/03/31,"6,000","130,500",21.75,21.75,21.75,21.75,-0.50,5
114/03/28,"13,257","297,284",22.70,22.70,22.10,22.25,-0.45,14
114/03/27,"2,000","45,400",22.70,22.70,22.70,22.70,-0.05,1
114/03/26,"104,106","2,393,666",23.00,23.00,22.75,22.75,-0.20,7
114/03/25,"3,000","68,700",22.90,22.95,22.85,22.95,-0.05,3
114/03/24,"7,020","163,808",23.80,23.80,23.00,23.00,+0.15,8
114/03/21,"11,035","255,056",23.10,23.30,22.85,22.85,-0.25,9
114/03/20,"3,130","72,017",23.15,23.15,22.80,23.10,+0.05,7
114/03/19,"5,000","115,400",23.10,23.10,23.05,23.05,+0.30,3
114/03/18,"6,050","137,636",22.75,22.75,22.75,22.75, 0.00,6
114/03/17,"255,000","5,689,650",22.50,22.75,22.30,22.75,+0.25,7
114/03/14,"1,000","22,500",22.50,22.50,22.50,22.50,-0.20,1
114/03/13,"42,020","952,654",22.75,22.75,22.50,22.70,-0.05,16
114/03/12,"18,156","422,080",23.30,23.30,22.75,22.75,-0.25,12
114/03/11,"14,492","329,323",21.90,23.00,21.90,23.00,+0.30,20
114/03/10,"10,001","227,322",22.80,22.80,22.70,22.70,X0.00,9
114/03/05,"31,001","716,323",23.10,23.20,23.10,23.10,+0.25,13
114/03/04,"16,020","367,760",22.95,23.00,22.85,22.85,-0.15,7
114/03/03,"13,140","302,185",23.00,23.00,23.00,23.00,+0.05,5
